UNITID,mean_earnings_after10,median_earnings_after10,Sat_Mp_Critical_Reading,Sat_Mp_Math
151801,56200,49900,525.0,520.0
152080,98400,78400,715.0,730.0
152099,37200,33600,470.0,495.0
152248,43000,38200,480.0,485.0
152266,44600,39000,485.0,475.0
152318,88500,80900,615.0,700.0
152336,43600,40400,495.0,500.0
152363,45800,41800,470.0,480.0
152381,31900,32300,470.0,458.0
152390,51300,46200,545.0,525.0
152530,42600,38000,550.0,550.0
152567,49600,43300,515.0,555.0
152600,54400,48500,550.0,545.0
152673,64000,56300,540.0,585.0
153001,42600,40000,455.0,465.0
153108,48400,44700,560.0,560.0
153126,44800,41300,477.0,482.0
153144,50000,46200,565.0,580.0
153162,45400,43000,565.0,558.0
153250,45300,41700,525.0,535.0
153269,68700,58300,580.0,615.0
153278,42500,39200,445.0,425.0
153302,36800,34400,485.0,355.0
153320,38700,35400,560.0,500.0
153366,40200,36200,455.0,460.0
153375,45200,43200,455.0,505.0
153384,61000,49100,695.0,730.0
153603,56000,50700,535.0,590.0
153621,39900,39500,490.0,475.0
153658,62000,51900,560.0,610.0
153825,50200,44600,558.0,534.0
153834,53200,47400,511.0,553.0
154095,49700,44600,513.0,540.0
154101,40200,38400,500.0,543.0
154350,51200,47500,525.0,551.0
154493,45500,42900,435.0,435.0
154518,42400,37800,460.0,460.0
154527,50600,45400,471.0,515.0
154590,46400,42100,385.0,420.0
154688,59500,51300,535.0,545.0
154712,45000,40100,528.0,535.0
154721,45100,40200,460.0,475.0
154855,34800,31700,455.0,450.0
155025,40300,37100,515.0,455.0
155089,46900,41800,460.0,470.0
155140,27500,24900,450.0,450.0
155335,47900,44000,471.0,488.0
155414,43300,40300,495.0,490.0
155496,38800,35500,440.0,495.0
155511,43500,39300,520.0,495.0
155520,49600,42900,440.0,445.0
155812,42500,38500,485.0,495.0
155900,54000,46400,450.0,470.0
155937,40500,35700,465.0,490.0
155973,45500,40800,450.0,470.0
156125,45400,40400,530.0,538.0
156189,41600,31700,515.0,505.0
156213,40700,34900,570.0,550.0
156286,50600,45700,540.0,530.0
156295,36300,33700,545.0,565.0
156356,48000,40100,460.0,490.0
156365,35400,33700,465.0,521.0
156408,53800,45500,585.0,625.0
156541,38200,35100,480.0,500.0
156620,39300,36100,520.0,515.0
156745,50500,43000,490.0,475.0
157058,31300,28700,443.0,405.0
157076,41700,36700,505.0,500.0
157085,54000,45100,560.0,565.0
157100,36500,34600,445.0,480.0
157377,37400,34500,430.0,360.0
157386,37000,33100,475.0,475.0
157401,42300,37100,538.0,512.0
157447,41800,37500,515.0,505.0
157535,39000,31100,450.0,445.0
157757,48300,45100,499.0,496.0
157809,58900,49400,495.0,505.0
157951,38600,34700,485.0,490.0
158477,52500,44900,525.0,530.0
158802,37900,35400,470.0,465.0
159009,32800,28100,435.0,455.0
159382,36300,33700,485.0,455.0
159391,60100,50100,560.0,570.0
159416,41000,35700,512.0,484.0
159568,48300,42800,495.0,470.0
159647,49200,41500,535.0,555.0
159656,52300,47100,575.0,555.0
159717,45000,38200,465.0,535.0
159939,43500,37800,540.0,550.0
159966,43800,37500,494.0,546.0
159993,46300,37500,570.0,585.0
160038,39600,34300,485.0,505.0
160621,39600,34700,480.0,490.0
160658,46400,39900,525.0,535.0
160755,86300,61700,665.0,660.0
160904,64500,49800,508.0,493.0
161022,53100,49000,450.0,455.0
161086,71000,58100,678.0,693.0
161235,37700,33400,450.0,438.0
161253,48300,42500,530.0,540.0
161299,107200,95600,505.0,530.0
161457,51000,46300,520.0,525.0
161518,47000,43400,470.0,445.0
161554,44400,38700,495.0,485.0
161873,63400,58000,475.0,445.0
162007,48700,45800,440.0,420.0
162061,68100,63900,495.0,515.0
162210,46300,42600,440.0,420.0
162283,41800,38100,415.0,420.0
162584,47200,44600,480.0,485.0
162928,89300,73200,730.0,755.0
163268,59600,55000,600.0,620.0
163286,70800,62900,640.0,675.0
163295,41200,37300,590.0,565.0
163338,40400,36600,440.0,430.0
163453,42600,40500,450.0,450.0
163462,56600,52600,530.0,520.0
163578,56400,51800,535.0,515.0
163912,55200,52200,575.0,550.0
163976,42000,36900,670.0,640.0
164076,55100,50800,535.0,535.0
164173,54600,49600,510.0,510.0
164270,54000,49700,545.0,550.0
164447,50000,46000,435.0,441.0
164465,83300,65000,728.0,730.0
164580,113300,96100,605.0,665.0
164614,37500,33600,510.0,515.0
164632,44800,42700,488.0,468.0
164720,49400,43800,515.0,510.0
164739,95400,86900,565.0,610.0
164924,92500,72500,670.0,690.0
164988,75900,65300,635.0,685.0
165015,69000,57900,660.0,715.0
165024,47900,45300,495.0,495.0
165529,51100,45900,470.0,470.0
165644,46100,42300,480.0,485.0
165662,51200,46600,630.0,595.0
165671,54400,49700,560.0,555.0
165820,47400,45700,495.0,495.0
165866,49000,45800,490.0,500.0
165936,47700,41700,525.0,525.0
166027,139100,89700,755.0,760.0
166391,45700,43000,485.0,480.0
166452,40500,38700,545.0,515.0
166513,57200,53300,570.0,595.0
166629,57700,51400,600.0,630.0
166638,53700,48200,525.0,545.0
166656,106500,116000,510.0,555.0
166674,40700,36200,545.0,520.0
166683,153600,104700,745.0,780.0
166692,96000,86600,510.0,540.0
167288,38300,35800,515.0,495.0
167358,74200,67400,695.0,725.0
167394,49600,46200,478.0,470.0
167729,47100,43500,495.0,495.0
167783,58400,55800,600.0,570.0
167899,48500,45100,500.0,510.0
167987,51500,48200,505.0,515.0
168005,59900,53100,505.0,510.0
168148,103300,75800,715.0,730.0
168218,71800,60800,705.0,700.0
168227,67300,65100,535.0,580.0
168254,61300,54900,530.0,560.0
168263,48900,46100,490.0,500.0
168290,37400,37900,453.0,455.0
168342,89800,59000,720.0,715.0
168430,52400,48200,500.0,510.0
168528,42800,38600,463.0,465.0
168546,55700,47400,510.0,535.0
168591,46500,42200,505.0,527.0
168740,47800,45200,560.0,540.0
169080,48700,44800,578.0,590.0
169248,46200,41900,510.0,505.0
169716,53700,47100,540.0,580.0
169798,43900,39300,510.0,515.0
169910,49600,44500,515.0,530.0
169983,78500,80500,590.0,640.0
170037,40800,35400,505.0,495.0
170082,47200,42800,523.0,530.0
170301,50700,46200,565.0,570.0
170639,42000,37700,485.0,475.0
170675,60500,55300,540.0,610.0
170842,31600,28700,475.0,450.0
170967,39000,35300,485.0,475.0
170976,79000,63400,685.0,720.0
171100,63200,53600,520.0,605.0
171128,66800,66400,578.0,624.0
171146,44500,40600,534.0,542.0
171456,39800,35500,315.0,535.0
171492,54900,48900,480.0,515.0
171571,48100,43100,418.0,540.0
171599,42200,38400,495.0,530.0
171881,35200,28600,550.0,450.0
172051,42700,39300,544.0,457.0
172334,45000,41000,515.0,500.0
172440,38700,32400,420.0,415.0
172644,52300,40800,550.0,572.0
172699,50500,45000,508.0,500.0
173045,53200,46800,530.0,525.0
173142,37600,34800,500.0,510.0
173160,52600,47300,593.0,534.0
173258,67900,54200,715.0,715.0
173452,37400,37300,615.0,615.0
173665,55500,49200,540.0,555.0
173902,55800,47600,685.0,690.0
173920,48400,44900,461.0,536.0
174066,61200,51900,630.0,685.0
174075,49100,44800,440.0,510.0
174127,43200,35400,570.0,495.0
174233,56300,47200,530.0,560.0
174251,44400,40700,535.0,610.0
174358,44900,40600,480.0,535.0
174437,35800,34600,523.0,499.0
174491,43400,38500,555.0,540.0
174525,31700,28800,375.0,395.0
174747,57000,52600,510.0,495.0
174783,48600,44200,485.0,565.0
174792,67100,60600,515.0,525.0
174817,50400,47800,500.0,505.0
174844,57300,50400,625.0,635.0
174862,40100,35100,430.0,455.0
174899,56000,51400,490.0,515.0
174914,62900,56800,580.0,590.0
175005,51100,49200,545.0,533.0
175078,41400,37600,410.0,510.0
175272,48600,44700,475.0,455.0
175342,35000,31100,455.0,460.0
175430,29200,31400,510.0,540.0
175616,37600,33700,480.0,515.0
175856,33700,30000,465.0,475.0
175980,54500,48100,567.0,577.0
176017,56600,42700,555.0,560.0
176035,38900,34100,465.0,615.0
176053,44900,38300,560.0,532.0
176372,42700,36400,485.0,580.0
176406,32400,27500,500.0,515.0
176479,40500,34700,475.0,490.0
176628,49700,44100,460.0,490.0
176789,39200,36800,425.0,380.0
176910,30600,29700,580.0,545.0
176947,39500,35400,430.0,485.0
177117,34700,33500,500.0,480.0
177144,40100,36600,455.0,470.0
177214,36200,32200,550.0,565.0
177339,40900,35800,530.0,490.0
177746,33200,31200,570.0,515.0
