UNITID,mean_earnings_after10,median_earnings_after10,Sat_Mp_Critical_Reading,Sat_Mp_Math
213783,41300,38600,480.0,480.0
213826,43200,39600,510.0,520.0
213996,50500,45100,570.0,575.0
214041,46000,43500,515.0,515.0
214069,54400,50400,520.0,525.0
214157,55100,51100,505.0,505.0
214166,43200,40800,470.0,480.0
214175,65300,59400,610.0,615.0
214272,47200,44300,445.0,445.0
214591,57200,50100,515.0,575.0
214625,57200,50100,508.0,520.0
214634,57200,50100,480.0,460.0
214643,57200,50100,480.0,515.0
214652,57200,50100,470.0,485.0
214670,57200,50100,505.0,535.0
214689,57200,50100,490.0,515.0
214698,57200,50100,498.0,528.0
214704,57200,50100,485.0,505.0
214713,57200,50100,495.0,575.0
214731,57200,50100,475.0,495.0
214740,57200,50100,485.0,515.0
214759,57200,50100,480.0,480.0
214768,57200,50100,505.0,510.0
214777,57200,50100,580.0,615.0
214786,57200,50100,480.0,505.0
214795,57200,50100,480.0,495.0
214801,57200,50100,475.0,525.0
214810,57200,50100,465.0,470.0
214829,57200,50100,515.0,550.0
215062,131600,85900,725.0,750.0
215099,54800,51200,520.0,525.0
215105,39100,32600,530.0,495.0
215114,38700,34800,517.0,510.0
215132,92400,91600,570.0,595.0
215266,61200,53900,485.0,495.0
215275,61200,53900,510.0,508.0
215284,61200,53900,500.0,520.0
215293,61200,53900,635.0,650.0
215309,61200,53900,455.0,453.0
215442,42400,37100,510.0,490.0
215594,60400,63800,482.0,450.0
215655,53100,47700,515.0,525.0
215691,46700,44700,455.0,455.0
215743,57400,52200,525.0,535.0
215770,65900,59600,565.0,575.0
215798,52100,47600,525.0,525.0
215929,62300,57500,555.0,570.0
215974,53100,55500,505.0,520.0
216010,48200,45000,480.0,490.0
216038,44800,41700,495.0,505.0
216287,70000,56700,703.0,715.0
216357,41700,37600,460.0,465.0
216551,51400,46600,445.0,429.0
216597,87600,77900,650.0,670.0
216694,51200,45300,485.0,480.0
216764,51200,48400,525.0,535.0
216807,47200,43200,525.0,525.0
216852,59100,53400,505.0,525.0
216931,58600,51600,498.0,515.0
217013,34000,33100,450.0,470.0
217059,52200,50400,515.0,525.0
217156,89100,67500,730.0,740.0
217402,73400,64100,560.0,575.0
217420,43900,41400,455.0,450.0
217484,58400,52900,530.0,540.0
217493,56400,51100,605.0,605.0
217633,38400,35200,528.0,510.0
217688,40600,36900,510.0,500.0
217819,48700,40700,550.0,545.0
217864,59600,56800,525.0,530.0
217873,30700,28500,450.0,440.0
217882,58900,52400,610.0,635.0
217907,37100,32800,480.0,490.0
217925,31400,29900,535.0,529.0
217934,36200,34600,480.0,465.0
217961,34800,33900,525.0,495.0
217998,41500,37400,505.0,505.0
218061,36900,33100,465.0,455.0
218229,38100,34200,490.0,495.0
218238,41600,37400,500.0,520.0
218414,37600,36900,460.0,475.0
218441,36200,34400,525.0,585.0
218539,50800,44500,550.0,555.0
218645,40800,37100,485.0,480.0
218654,40400,36800,470.0,465.0
218663,53900,44900,605.0,605.0
218672,53900,44900,435.0,435.0
218681,29200,26600,405.0,410.0
218690,39400,34300,470.0,455.0
218706,35400,32800,380.0,375.0
218724,44500,38500,500.0,510.0
218733,32500,29800,395.0,382.0
218742,41300,36900,475.0,475.0
218821,35000,32900,420.0,435.0
218964,39800,35900,515.0,508.0
218973,59800,51500,575.0,585.0
219000,49500,43700,525.0,555.0
219046,40500,35900,505.0,485.0
219082,43100,38700,505.0,508.0
219091,40900,37200,430.0,475.0
219259,37300,35300,465.0,495.0
219295,38100,34700,447.0,475.0
219347,62400,56500,560.0,605.0
219356,50200,44400,510.0,515.0
219383,44800,40100,535.0,525.0
219471,49500,42000,525.0,520.0
219578,48700,45900,600.0,565.0
219602,38800,34900,516.0,513.0
219709,51500,44100,580.0,565.0
219718,43100,38600,453.0,475.0
219790,44500,41300,599.0,554.0
219806,41300,36000,480.0,500.0
219949,43000,38700,455.0,475.0
219976,51500,43200,569.0,560.0
220075,40600,35100,505.0,520.0
220181,36300,35000,480.0,435.0
220215,41100,37100,519.0,477.0
220312,32700,30300,455.0,450.0
220473,31700,29800,540.0,560.0
220613,37800,34200,535.0,515.0
220631,41600,38200,500.0,500.0
220710,44000,39000,505.0,505.0
220808,28300,27100,530.0,485.0
220862,43200,37400,525.0,505.0
220978,44400,38700,535.0,520.0
221351,64800,53600,625.0,640.0
221731,43700,38500,465.0,495.0
221740,42600,38100,535.0,520.0
221759,56700,45100,570.0,575.0
221768,40100,36200,538.0,535.0
221847,46700,40500,525.0,550.0
221892,49000,40500,520.0,515.0
221953,42500,38300,457.0,485.0
221971,49600,43200,595.0,565.0
221999,86200,69000,745.0,760.0
222178,48900,43000,520.0,525.0
222831,46300,40200,480.0,485.0
222983,52800,48200,600.0,605.0
223232,58400,51600,600.0,615.0
224004,51300,44500,485.0,495.0
224147,48600,43400,475.0,480.0
224226,49200,43200,560.0,550.0
224244,45500,38900,424.0,463.0
224323,51400,47400,590.0,575.0
224527,43600,40500,475.0,485.0
224545,39200,35900,520.0,540.0
224554,41900,39300,485.0,490.0
225247,48300,43300,505.0,525.0
225399,52300,45800,520.0,520.0
225414,52900,47900,505.0,515.0
225432,49300,45000,440.0,465.0
225511,60600,51600,560.0,585.0
225548,40500,37600,475.0,475.0
225575,34200,30800,400.0,405.0
225627,52500,46500,445.0,450.0
226091,46000,39500,475.0,480.0
226152,46700,45800,450.0,470.0
226231,56800,48200,575.0,580.0
226383,50500,41800,535.0,510.0
226471,48700,44200,505.0,515.0
226587,46400,41000,445.0,480.0
226833,47000,41100,485.0,490.0
227216,49300,45000,545.0,545.0
227331,42500,39300,455.0,465.0
227368,44200,41900,470.0,480.0
227429,29800,27700,395.0,415.0
227526,40700,35700,420.0,425.0
227757,91600,65400,730.0,760.0
227845,55700,46500,560.0,545.0
227863,59600,49600,538.0,545.0
227881,49700,44600,485.0,485.0
228042,44300,40200,490.0,500.0
228149,52000,46600,515.0,525.0
228246,77900,60700,650.0,665.0
228325,38700,35700,455.0,460.0
228343,63400,54000,590.0,575.0
228431,46400,41900,485.0,495.0
228459,51100,45700,510.0,515.0
228468,47100,41500,465.0,450.0
228501,41400,37900,415.0,425.0
228529,47700,42500,470.0,480.0
228705,49300,42600,470.0,485.0
228723,67800,58000,580.0,610.0
228769,54000,48700,520.0,550.0
228778,73900,58200,620.0,655.0
228787,61400,53100,610.0,650.0
228796,43300,40000,455.0,470.0
228802,50500,44200,525.0,525.0
228875,62600,52800,580.0,595.0
228981,51100,45600,480.0,495.0
229018,52300,46100,475.0,480.0
229027,49600,45300,505.0,520.0
229063,37600,31300,403.0,405.0
229115,61600,51400,545.0,565.0
229160,44400,42000,495.0,503.0
229179,49100,44700,465.0,475.0
229267,68000,54900,635.0,630.0
229780,47200,41300,445.0,460.0
229814,46700,42700,475.0,480.0
230038,71500,59700,635.0,635.0
230047,49100,42200,536.0,530.0
230603,45500,39800,515.0,505.0
230728,49600,43200,550.0,550.0
230764,63500,53000,580.0,595.0
230807,58100,49800,555.0,550.0
230834,40800,37900,479.0,485.0
230852,54400,45400,575.0,555.0
230913,35600,33200,476.0,445.0
230931,35900,33400,475.0,475.0
230959,71900,58200,685.0,703.0
231086,38900,34200,440.0,440.0
231174,55200,47300,600.0,600.0
231420,49000,41800,455.0,454.0
231554,46000,40900,445.0,455.0
231581,46600,42500,510.0,500.0
231624,74500,58500,680.0,680.0
231651,45600,41600,535.0,498.0
231712,52000,46900,580.0,575.0
232025,45000,40700,510.0,495.0
232043,44700,40300,515.0,515.0
232089,41100,37300,430.0,435.0
232186,63900,59900,575.0,580.0
232256,59000,52200,558.0,563.0
232265,50100,44700,470.0,480.0
232308,37900,35400,587.0,540.0
232423,63300,56600,560.0,565.0
232557,41400,36700,540.0,530.0
232566,45300,41500,490.0,480.0
232609,48800,43600,510.0,510.0
232672,39500,37200,500.0,470.0
232681,56200,51400,565.0,545.0
232706,57000,53600,485.0,485.0
232937,38800,35800,375.0,365.0
232982,48700,43700,505.0,505.0
233295,54800,49100,545.0,538.0
233301,41500,39700,520.0,505.0
233374,78900,64500,650.0,670.0
233426,52000,44700,550.0,535.0
233541,52300,45800,505.0,495.0
233611,39100,36000,525.0,509.0
233718,43500,38200,540.0,490.0
233897,43800,38400,485.0,475.0
233921,67100,62500,590.0,620.0
234030,49700,44000,550.0,540.0
234076,79400,61200,670.0,680.0
234085,65200,65700,575.0,575.0
234155,38400,35200,410.0,405.0
234173,44100,40700,480.0,475.0
234207,93300,76100,690.0,700.0
234827,50100,46500,530.0,525.0
235097,46700,43100,480.0,485.0
235167,36900,33200,550.0,500.0
235316,63800,56100,600.0,605.0
236133,46300,41300,539.0,520.0
236230,53500,49400,550.0,555.0
236452,51600,47800,508.0,515.0
236577,54200,49100,560.0,550.0
236595,63200,56500,590.0,590.0
236896,50900,46400,530.0,535.0
236939,56600,50600,520.0,528.0
236948,69600,57700,600.0,645.0
237011,50600,45800,560.0,545.0
237057,59400,51300,660.0,650.0
237066,48000,42100,570.0,560.0
237118,47000,40400,470.0,480.0
237136,33200,26700,518.0,404.0
237181,44200,40400,440.0,440.0
237215,31900,26600,475.0,495.0
237312,46800,40800,460.0,471.0
237330,35700,32300,495.0,485.0
237358,40200,37400,475.0,485.0
237367,38400,33000,460.0,460.0
237385,38400,33800,420.0,430.0
237525,41700,35600,513.0,495.0
237640,40400,37200,450.0,505.0
237792,43000,39700,495.0,480.0
237899,33800,29800,462.0,450.0
237932,39500,36400,455.0,455.0
237950,52700,45800,445.0,505.0
237969,48800,43600,490.0,505.0
238032,52700,45800,508.0,515.0
238078,49600,46200,480.0,495.0
238333,47700,42400,600.0,618.0
238430,55400,48500,507.0,500.0
238458,47000,44200,539.0,510.0
238476,50100,44700,525.0,505.0
238661,47600,43300,522.0,495.0
238980,45100,42800,440.0,465.0
239017,48700,44100,624.0,646.0
239105,70700,62600,575.0,580.0
239318,71100,71300,605.0,645.0
239628,51300,45500,510.0,500.0
239716,51300,46400,535.0,560.0
240107,47400,43200,460.0,460.0
240189,45800,42600,470.0,530.0
240338,45300,41300,545.0,590.0
240444,68000,56200,610.0,700.0
240727,54200,47300,535.0,550.0
243665,35500,32000,420.0,382.0
243744,141300,94000,730.0,750.0
243780,62200,55100,575.0,620.0
366711,51100,47300,475.0,485.0
377555,69600,57700,505.0,535.0
377564,69600,57700,490.0,490.0
392840,42000,36500,553.0,475.0
407009,55500,47700,534.0,530.0
420574,55500,47700,550.0,582.0
431600,50700,51000,495.0,510.0
433660,45800,42100,540.0,530.0
436818,66000,58400,490.0,495.0
436827,66000,58400,500.0,515.0
436836,66000,58400,495.0,490.0
439701,47100,39100,510.0,508.0
440828,56700,49600,535.0,510.0
443410,82400,80200,605.0,610.0
446048,33700,32800,560.0,540.0
448840,48500,43500,590.0,555.0
448886,55500,47700,535.0,535.0
451671,48500,43500,570.0,535.0
456959,61200,51900,500.0,540.0
479956,57200,50100,530.0,505.0
482149,70600,62300,520.0,520.0
482680,46200,41900,470.0,450.0
484473,65700,56000,585.0,565.0
484905,49300,45000,440.0,470.0
